Project;# Pull Request;FSL;NF;NT;NC;NB;Suggested Lines;Details
;;[x](data/pentaho_pentaho-kettle/log-files/pentaho_pentaho-kettle_pull8154-2.log);;;;;[Update 2](data/pentaho_pentaho-kettle/suspicious-lines/8154/02);
[sofastack/sofa-jraft](https://github.com/sofastack/sofa-jraft);;;;;;;;[Link](data/sofastack_sofa-jraft)
;[729](https://github.com/sofastack/sofa-jraft/pull/729);[x](data/sofastack_sofa-jraft/log-files/sofastack_sofa-jraft_pull729.log);;;;;[Link](data/sofastack_sofa-jraft/suspicious-lines/729);
[tabulapdf/tabula-java](https://github.com/tabulapdf/tabula-java);;;;;;;;[Link](data/tabulapdf_tabula-java)
;[453](https://github.com/tabulapdf/tabula-java/pull/453);[x](data/tabulapdf_tabula-java/log-files/tabulapdf_tabula-java_pull453.log);;;;;[Link](data/tabulapdf_tabula-java/suspicious-lines/453);
;[454](https://github.com/tabulapdf/tabula-java/pull/454);[x](data/tabulapdf_tabula-java/log-files/tabulapdf_tabula-java_pull454.log);;;;;[Link](data/tabulapdf_tabula-java/suspicious-lines/454);
;[455](https://github.com/tabulapdf/tabula-java/pull/455);[x](data/tabulapdf_tabula-java/log-files/tabulapdf_tabula-java_pull455.log);;;;;[Link](data/tabulapdf_tabula-java/suspicious-lines/455);
[PhoenicisOrg/phoenicis](https://github.com/PhoenicisOrg/phoenicis);;;;;;;;[Link](data/PhoenicisOrg_phoenicis)
;[2463](https://github.com/PhoenicisOrg/phoenicis/pull/2463);[0*](data/PhoenicisOrg_phoenicis/log-files/PhoenicisOrg_phoenicis_pull2463.log);;;;;;
[apache/systemds](https://github.com/apache/systemds);;;;;;;;[Link](data/apache_systemds)
;[1472](https://github.com/apache/systemds/pull/1472);;;;[x](data/apache_systemds/log-files/apache_systemds_pull1472.log);;;
[jagrosh/MusicBot](https://github.com/jagrosh/MusicBot);;;;;;;;[Link](data/jagrosh_MusicBot)
;[1062](https://github.com/jagrosh/MusicBot/pull/1062);;[x](data/jagrosh_MusicBot/log-files/jagrosh_MusicBot_pull1062.log);;;;;
;[1067](https://github.com/jagrosh/MusicBot/pull/1067);;[x](data/jagrosh_MusicBot/log-files/jagrosh_MusicBot_pull1067.log);;;;;
[FluentLenium/FluentLenium](https://github.com/FluentLenium/FluentLenium);;;;;;;;[Link](data/FluentLenium_FluentLenium)
;[1368](https://github.com/FluentLenium/FluentLenium/pull/1368);[0](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1368.log);;;;;;
;[1371](https://github.com/FluentLenium/FluentLenium/pull/1371);[0](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1371.log);;;;;;
;[1380](https://github.com/FluentLenium/FluentLenium/pull/1380);[0*](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1380.log);;;;;;
;[1382](https://github.com/FluentLenium/FluentLenium/pull/1382);[0*](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1382.log);;;;;;
;[1388](https://github.com/FluentLenium/FluentLenium/pull/1382);[0](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1388.log);;;;;;
;[1389](https://github.com/FluentLenium/FluentLenium/pull/1389);[0](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1389.log);;;;;;
;[1390](https://github.com/FluentLenium/FluentLenium/pull/1390);[0](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1390.log);;;;;;
;[1391](https://github.com/FluentLenium/FluentLenium/pull/1391);[0](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1391.log);;;;;;
;[1392](https://github.com/FluentLenium/FluentLenium/pull/1392);[0](data/FluentLenium_FluentLenium/log-files/FluentLenium_FluentLenium_pull1392.log);;;;;;
[eclipse-vertx/vertx-sql-client](https://github.com/eclipse-vertx/vertx-sql-client);;;;;;;;[Link](data/eclipse-vertx_vertx-sql-client)
;[1091](https://github.com/eclipse-vertx/vertx-sql-client/pull/1091);;;[x](data/eclipse-vertx_vertx-sql-client/log-files/eclipse-vertx_vertx-sql-client_pull1091.log);;;;
[jenkinsci/kubernetes-plugin](https://github.com/jenkinsci/kubernetes-plugin);;;;;;;;[Link](data/jenkinsci_kubernetes-plugin)
;[1079](https://github.com/jenkinsci/kubernetes-plugin/pull/1079);;[x](data/jenkinsci_kubernetes-plugin/log-files/jenkinsci_kubernetes-plugin_pull1079.log);;;;;
;[1080](https://github.com/jenkinsci/kubernetes-plugin/pull/1080);;[x](data/jenkinsci_kubernetes-plugin/log-files/jenkinsci_kubernetes-plugin_pull1080.log);;;;;
;[1082](https://github.com/jenkinsci/kubernetes-plugin/pull/1082);;[x](data/jenkinsci_kubernetes-plugin/log-files/jenkinsci_kubernetes-plugin_pull1082.log);;;;;
;[1083](https://github.com/jenkinsci/kubernetes-plugin/pull/1083);[x](data/jenkinsci_kubernetes-plugin/log-files/jenkinsci_kubernetes-plugin_pull1083.log);;;;;;[Link](data/jenkinsci_kubernetes-plugin/suspicious-lines/1083)
[apache/shardingsphere](https://github.com/apache/shardingsphere);;;;;;;;[Link](data/apache_shardingsphere)
;[13889](https://github.com/apache/shardingsphere/pull/13889);;[x](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13889.log);;;;;
;[13894](https://github.com/apache/shardingsphere/pull/13894);;;;;[x](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13894.log);;
;[13925](https://github.com/apache/shardingsphere/pull/13925);;[x](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13925.log);;;;;
;[13943](https://github.com/apache/shardingsphere/pull/13943);;[x](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13943.log);;;;;
;[13944](https://github.com/apache/shardingsphere/pull/13944);[0*](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13944.log);;;;;;
;[13952](https://github.com/apache/shardingsphere/pull/13952);;[x](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13952.log);;;;;
;[13958](https://github.com/apache/shardingsphere/pull/13958);;[x](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13958-1.log);;;;;
;;;[x](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13958-2.log);;;;;
;[13959](https://github.com/apache/shardingsphere/pull/13959);;[x](data/apache_shardingsphere/log-files/apache_shardingsphere_pull13959.log);;;;;
